City,Neighbourhood,Address,Property Type,Duration on market,Beds,Baths,Price,total_hours
Niagara Falls,No data,7390 Westfield Drive,House,0 days 00:04:00,3,2,799900,0.06666666666666667
Oshawa,Central,321 Gliddon Avenue,House,0 days 00:19:00,4,2,549000,0.31666666666666665
St. Catharines,No data,46 Pelham Road,No data,0 days 00:00:00,3,2,399900,128.61731919521478
Toronto,Annex,17 Boswell Avenue,Townhouse,0 days 00:34:00,3,5,6495000,0.5666666666666667
Toronto,Waterfront Communities C1,1102-8 Charlotte Street,Condo,0 days 00:44:00,2,2,988000,0.7333333333333333
Toronto,Church-Yonge Corridor,560-460 Adelaide Street E,No data,0 days 00:44:00,1,1,719000,0.7333333333333333
Toronto,Bay Street Corridor,35 Balmuto Street,Condo,0 days 00:44:00,2,2,899000,0.7333333333333333
Whitby,Rural Whitby,20 Lockton Street,House,0 days 00:49:00,4,4,1699000,0.8166666666666667
Toronto,The Beaches,67 Woodbine Avenue,Townhouse,0 days 00:00:00,3,3,1699000,128.61731919521478
Toronto,Hillcrest Village,70 Threadneedle Crescent S,House,0 days 00:49:00,3,2,1899000,0.8166666666666667
Toronto,Yonge-Eglinton,902-23 Glebe Road,Condo,0 days 00:00:00,1,1,724998,128.61731919521478
Toronto,Hillcrest Village,502-85 Skymark Drive,Condo,0 days 00:59:00,2,2,998800,0.9833333333333333
Toronto,Clanton Park,651-525 Wilson Avenue,Condo,0 days 00:59:00,1,1,588000,0.9833333333333333
Markham,Milliken Mills East,17 Halder Crescent,House,0 days 01:00:00,4,5,1499000,1.0
Toronto,Bridle Path-Sunnybrook-York Mills,306 Dawlish Avenue,House,0 days 01:00:00,3,2,3999900,1.0
Oshawa,Samac,100-1780 Simcoe Street N,Condo,0 days 01:00:00,3,3,599900,1.0
Toronto,Bedford Park-Nortown,357 Fairlawn Avenue,House,0 days 01:00:00,3,2,1999000,1.0
Toronto,Dovercourt-Wallace Emerson-Junction,603-15 Sousa Mendes Street,Condo,0 days 01:00:00,2,2,899000,1.0
Toronto,Annex,1309-181 Bedford Road,Condo,0 days 01:00:00,2,2,1348000,1.0
Toronto,Little Portugal,1708E-36 Lisgar Street,Condo,0 days 00:00:00,1,2,488000,128.61731919521478
Toronto,Mount Pleasant West,1419-70 Roehampton Avenue,Condo,0 days 01:00:00,2,2,979990,1.0
Oshawa,Eastdale,863 Attersley Drive,House,0 days 01:00:00,3,2,899000,1.0
Whitby,Pringle Creek,1-94 Petra Way,Condo,0 days 01:00:00,2,1,599000,1.0
St. Catharines,No data,15 Colonel Lyall Street,Townhouse,0 days 02:00:00,3,3,699000,2.0
Vaughan,Patterson,122 White Spruce Crescent,House,0 days 02:00:00,5,4,2299400,2.0
Toronto,Weston-Pellam Park,92 Chambers Avenue,House,0 days 02:00:00,3,2,1099000,2.0
Toronto,Downsview-Roding-CFB,404-2800 Keele Street N,Condo,0 days 00:00:00,2,2,799000,128.61731919521478
Richmond Hill,Doncrest,717-8763 Bayview Avenue,Condo,0 days 02:00:00,1,1,699999,2.0
Clarington,Courtice,24 Centerfield Drive,House,0 days 02:00:00,3,4,899900,2.0
St. Catharines,Lincoln Mall,22-286 Cushman Road,Townhouse,0 days 00:00:00,3,2,639900,128.61731919521478
Toronto,South Riverdale,206-90 Broadview Avenue,Condo,0 days 02:00:00,2,1,999900,2.0
Toronto,Waterfront Communities C1,811-70 Queens Wharf Road,Condo,0 days 02:00:00,1,1,679000,2.0
St. Catharines,No data,17 Stonegate Drive,House,0 days 02:00:00,3,3,749900,2.0
Haldimand,Dunnville,2952 North Shore Drive E,House,0 days 00:00:00,3,4,1599000,128.61731919521478
Toronto,Annex,1102-88 Cumberland Street,Condo,0 days 02:00:00,2,2,1549000,2.0
Toronto,Agincourt North,84 Croach Crescent,Townhouse,0 days 03:00:00,2,3,748800,3.0
St. Catharines,E. Chester,43 Perth Street,House,0 days 03:00:00,3,3,450000,3.0
Oshawa,Centennial,508-131 Taunton Road E,Condo,0 days 03:00:00,1,1,360000,3.0
Vaughan,Maple,219 Salterton Circle,Townhouse,0 days 00:00:00,4,4,999000,128.61731919521478
Toronto,Bathurst Manor,19 Candis Drive,House,0 days 03:00:00,3,4,2090000,3.0
St. Catharines,No data,19 Agincourt Crescent,House,0 days 04:00:00,5,3,1050000,4.0
Niagara Falls,Chippawa,3391 Strang Drive,House,0 days 04:00:00,3,2,2299,4.0
Toronto,Waterfront Communities C1,1108-8 Telegram Mews,Condo,0 days 03:00:00,1,1,499000,3.0
Welland,Prince Charles,17 Fairlawn Crescent,House,0 days 00:00:00,3,2,474900,128.61731919521478
Toronto,Willowdale West,515-30 Canterbury Place,Condo,0 days 03:00:00,1,2,599000,3.0
Toronto,South Parkdale,159 Dunn Avenue,Townhouse,0 days 04:00:00,6,7,2199000,4.0
Ajax,Northwest Ajax,60 Weston Crescent,House,0 days 00:00:00,4,5,1849000,128.61731919521478
Pickering,Rougemount,307 Fiddlers Court,House,0 days 04:00:00,4,4,1700000,4.0
Toronto,Newtonbrook West,103 Peckham Avenue,House,0 days 04:00:00,4,4,1699000,4.0
Toronto,Downsview-Roding-CFB,604-60 George Butchart Drive,Condo,0 days 04:00:00,1,1,675000,4.0
Toronto,Willowdale West,515-30 Canterbury Place,Condo,0 days 03:00:00,1,2,599000,3.0
Toronto,No data,75 East Liberty Street,No data,0 days 00:00:00,2,2,749900,128.61731919521478
Toronto,Willowdale East,101-28 Harrison Garden Boulevard,Condo,0 days 04:00:00,2,2,819000,4.0
Richmond Hill,Mill Pond,87 Mill Street,House,0 days 04:00:00,4,4,1988000,4.0
Toronto,Lansing-Westgate,4 Roycrest Avenue,House,0 days 04:00:00,2,3,1988000,4.0
Toronto,Mimico,PH3026-165 Legion Road N,Condo,0 days 04:00:00,2,2,1199000,4.0
Toronto,Victoria Village,1411-25 Sunrise Avenue,Condo,0 days 04:00:00,3,2,599900,4.0
Pelham,No data,34 Spruceside Crescent,House,0 days 00:00:00,3,2,1100000,128.61731919521478
Niagara Falls,No data,6052 Eaglewood Drive,House,0 days 04:00:00,4,4,2499000,4.0
St. Catharines,No data,9 Marus Commom ,Townhouse,0 days 04:00:00,3,3,799900,4.0
Toronto,Runnymede-Bloor West Village,28 Montye Avenue,House,0 days 04:00:00,2,2,999900,4.0
Vaughan,Glen Shields,51 Oakmount Crescent,House,0 days 04:00:00,4,3,1088000,4.0
Richmond Hill,North Richvale,26 Marsh Street,House,0 days 00:00:00,4,4,1599000,128.61731919521478
Richmond Hill,Observatory,1102-100 Observatory Lane S,Condo,0 days 04:00:00,2,2,650000,4.0
Markham,Unionville,1707-15 Water Walk Drive,Condo,0 days 04:00:00,1,2,879000,4.0
Toronto,Willowdale East,3105-2 Anndale Drive,Condo,0 days 04:00:00,2,2,799000,4.0
Fort Erie,No data,447 Ridge Road,House,0 days 04:00:00,2,3,719000,4.0
Toronto,Mount Pleasant West,1502-125 Redpath Avenue,Condo,0 days 04:00:00,1,1,599000,4.0
Thorold,No data,241 Devine Crescent,Townhouse,0 days 05:00:00,3,2,655000,5.0
Whitby,Downtown Whitby,919 Athol Street,House,0 days 05:00:00,4,2,1099000,5.0
Oshawa,Eastdale,524 Nottingham Crescent,House,0 days 05:00:00,3,3,849000,5.0
Toronto,Pleasant View,51 Patrick Boulevard,House,0 days 05:00:00,4,3,1750000,5.0
Toronto,Annex,1306-181 Bedford Road,Condo,0 days 05:00:00,1,1,699000,5.0
Toronto,Bendale,5 Wincrest Drive,House,0 days 05:00:00,3,1,889900,5.0
Markham,Cornell,380 Arthur Bonner Avenue,Condo,0 days 05:00:00,2,3,988800,5.0
Toronto,Milliken,901-330 Alton Towers Circle,Condo,0 days 05:00:00,2,2,799900,5.0
Toronto,Niagara,3006-12 Sudbury Street,Condo,0 days 05:00:00,2,1,799000,5.0
Toronto,Church-Yonge Corridor,1203-251 Jarvis Street,Condo,0 days 05:00:00,1,1,658800,5.0
Niagara-on-the-lake,No data,162 Cole Crescent,House,0 days 05:00:00,4,3,1195000,5.0
Niagara Falls,No data,7846 Woodbine Street,House,0 days 05:00:00,4,2,899900,5.0
Lincoln,No data,4181 Fly Road,House,0 days 05:00:00,4,3,1220000,5.0
Toronto,High Park-Swansea,34 Boustead Avenue,House,0 days 05:00:00,3,3,2690000,5.0
Toronto,Kennedy Park,697 Danforth Road,Townhouse,0 days 05:00:00,3,2,949900,5.0
Pickering,Rouge Park,1765 Woodview Avenue,House,0 days 05:00:00,4,3,1195000,5.0
Pickering,Highbush,340 Strouds Lane,Townhouse,0 days 05:00:00,3,4,898000,5.0
Toronto,O'Connor-Parkview,29 Adair Road,House,0 days 00:00:00,2,2,1299000,128.61731919521478
Toronto,Westminster-Branson,155 Dollery Court,Townhouse,0 days 00:00:00,3,3,999000,128.61731919521478
Markham,Buttonville,74 Melissa Way,Condo,0 days 05:00:00,3,4,1088000,5.0
Toronto,Mount Pleasant West,617-319 Merton Street,Condo,0 days 05:00:00,1,1,599000,5.0
Toronto,Clanton Park,102E-555 Wilson Avenue,Condo,0 days 05:00:00,1,1,565000,5.0
Ajax,South East,9 Doyle Court,House,0 days 05:00:00,3,2,949900,5.0
Pickering,Highbush,106 Copley Street,House,0 days 05:00:00,4,4,1399000,5.0
Whitby,Rolling Acres,4 Divine Drive,House,0 days 05:00:00,4,4,1199900,5.0
Toronto,Junction Area,1624-60 Heintzman Street,Condo,0 days 06:00:00,1,1,549000,6.0
Toronto,Agincourt South-Malvern West,205-151 Village Green Square,Condo,0 days 06:00:00,1,2,720000,6.0
Toronto,Brookhaven-Amesbury,10 Flamingo Crescent,House,0 days 06:00:00,2,1,999000,6.0
Toronto,Milliken,48 O'halloran Crescent,House,0 days 06:00:00,4,3,1328000,6.0
Markham,Markham Village,616-8323 Kennedy Road,No data,0 days 06:00:00,1,1,638000,6.0
Toronto,Malvern,67-1359 Neilson Road,Condo,0 days 06:00:00,3,3,699000,6.0
Toronto,Willowdale East,1612-28 Empress Avenue,Condo,0 days 05:00:00,2,2,919000,5.0
Toronto,Bay Street Corridor,607-38 Elm Street,Condo,0 days 06:00:00,1,1,599000,6.0
Toronto,Kensington-Chinatown,TH204-188 Spadina Avenue,Condo,0 days 05:00:00,3,3,1499000,5.0
Toronto,Kensington-Chinatown,905-105 Mccaul Street,Condo,0 days 06:00:00,2,1,750000,6.0
Niagara Falls,No data,8040 Blue Ash Lane,House,0 days 06:00:00,4,3,1074000,6.0
Toronto,Scarborough Village,15 Kingsmere Crescent,House,0 days 06:00:00,3,3,1199900,6.0
Fort Erie,No data,707 Niagara Boulevard,Townhouse,0 days 06:00:00,3,2,1100000,6.0
Richmond Hill,Langstaff,PH17-185 Oneida Crescent,Condo,0 days 06:00:00,2,2,799000,6.0
Toronto,Bayview Village,620-591 Sheppard Avenue E,Condo,0 days 06:00:00,1,2,649000,6.0
Toronto,Annex,401-77 Avenue Road,Condo,0 days 06:00:00,1,1,1088000,6.0
Toronto,Agincourt North,38 Deepdale Drive,House,0 days 06:00:00,3,3,1550800,6.0
Toronto,Blake-Jones,13 Queen Victoria Street,House,0 days 06:00:00,3,4,1688000,6.0
